stock_id,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl_dollar_gross,exit_reason
1455,long,1995-06-08,31.0,1000,1995-06-14,28.2,-2800.000000000001,StopLoss
1316,long,1995-06-14,28.5,2000,1995-06-28,25.3,-6399.999999999998,StopLoss
1414,long,1995-06-14,23.0,3000,1995-06-28,21.0,-6000.0,StopLoss
1218,long,1994-10-11,20.5,4000,1995-07-19,19.0,-6000.0,StopLoss
1225,long,1994-10-11,23.0,4000,1995-07-19,19.3,-14799.999999999996,StopLoss
1314,long,1995-05-05,27.8,2000,1995-07-19,25.9,-3800.000000000004,StopLoss
1316,long,1995-06-28,25.3,3000,1995-07-24,23.7,-4800.000000000005,StopLoss
1104,long,1995-07-19,26.8,3000,1995-07-26,26.3,-1500.0,StopLoss
1201,long,1993-01-06,23.8,4000,1995-08-01,22.6,-4799.999999999997,StopLoss
2006,long,1995-06-28,35.1,1000,1995-08-02,30.5,-4600.000000000002,StopLoss
1307,long,1995-07-19,19.3,3000,1995-08-07,18.5,-2400.0000000000023,StopLoss
1312,long,1995-07-26,33.4,1000,1995-08-07,31.0,-2399.9999999999986,StopLoss
1225,long,1995-07-19,19.3,5000,1995-08-09,17.8,-7500.0,StopLoss
1457,long,1995-08-01,40.5,1000,1995-08-09,37.5,-3000.0,StopLoss
1314,long,1995-08-09,19.5,3000,1995-08-11,18.1,-4199.999999999995,StopLoss
1216,long,1995-07-24,32.6,1000,1995-08-14,29.5,-3100.0000000000014,StopLoss
1611,long,1995-08-02,25.3,2000,1995-08-14,23.1,-4399.999999999998,StopLoss
1103,long,1995-08-09,22.3,3000,1995-08-14,19.1,-9599.999999999998,StopLoss
1104,long,1995-08-11,22.1,3000,1995-08-14,20.0,-6300.000000000005,StopLoss
1305,long,1992-09-17,19.5,3000,1995-08-15,18.1,-4199.999999999995,StopLoss
2302,long,1993-09-06,11.1,19000,1996-07-10,10.1,-19000.0,StopLoss
1104,long,1995-08-14,20.0,3000,1997-07-15,18.2,-5400.000000000002,StopLoss
1512,long,1995-08-07,20.4,3000,1997-09-25,18.6,-5399.999999999992,StopLoss
1219,long,1993-01-07,14.8,8000,1997-10-02,13.4,-11200.000000000004,StopLoss
1110,long,1995-08-15,19.6,4000,1997-10-06,18.0,-6400.0000000000055,StopLoss
1108,long,1995-08-14,21.3,3000,1997-10-17,19.2,-6300.000000000005,StopLoss
2515,long,1997-10-01,32.1,1000,1997-10-17,28.8,-3300.000000000001,StopLoss
1314,long,1997-10-02,31.8,1000,1997-10-17,28.6,-3199.999999999999,StopLoss
1315,long,1997-10-06,27.8,2000,1997-10-17,25.3,-5000.0,StopLoss
1229,long,1993-01-07,20.0,3000,1997-10-20,18.5,-4500.0,StopLoss
1402,long,1997-10-17,32.0,1000,1997-10-28,28.8,-3199.999999999999,StopLoss
1304,long,1997-10-17,26.8,2000,1998-06-01,23.8,-6000.0,StopLoss
